文件路径,处理时间,文件处理结果\\192.168.180.180\13.平台-财务\平台公司共享\1.汇旺物资\合同扫描件\01安徽\10 2021年中央财政湿地保护资金项目-栖息地改造工程\混凝土-宏大\21 汇旺-宏大 栖息地项目-混凝土采购补充协议一 7254元.pdf,2023-12-08 10:10:41.318148,文件无材料数据！
\\192.168.180.180\13.平台-财务\平台公司共享\1.汇旺物资\合同扫描件\01安徽\10 2021年中央财政湿地保护资金项目-栖息地改造工程\管材-三帮\10-6-2 汇旺-三帮 栖息地项目-管材及配件采购合同 11746.9元.pdf,2023-12-08 10:22:37.681922,文件有材料数据，已写入数据库！
\\192.168.180.180\13.平台-财务\平台公司共享\1.汇旺物资\合同扫描件\01安徽\10 2021年中央财政湿地保护资金项目-栖息地改造工程\信合源\10-3-1 汇旺-信合源 栖息地项目-电缆采购合同 172775元.pdf,2023-12-08 10:22:47.818601,文件有材料数据，已写入数据库！
\\192.168.180.180\13.平台-财务\平台公司共享\1.汇旺物资\合同扫描件\01安徽\10 2021年中央财政湿地保护资金项目-栖息地改造工程\信合源\汇旺-信合源 栖息地项目-管材及配件采购合同 11746.9元.pdf,2023-12-08 10:23:00.557187,文件有材料数据，已写入数据库！
\\192.168.180.180\13.平台-财务\平台公司共享\1.汇旺物资\合同扫描件\01安徽\10 2021年中央财政湿地保护资金项目-栖息地改造工程\信合源\23 汇旺-信合源 栖息地项目-聚乙烯薄膜采购合同 19950元.pdf,2023-12-08 10:23:03.747375,文件无材料数据！
\\192.168.180.180\13.平台-财务\平台公司共享\1.汇旺物资\合同扫描件\01安徽\2 金安区淠东乡淠东初中教师周转宿舍项目\2-5 汇旺-焕天 金安区项目-砂石、电缆、波纹管、真石漆采购合同 822925元.pdf,2023-12-08 10:23:38.551044,文件有材料数据，已写入数据库！
\\192.168.180.180\13.平台-财务\平台公司共享\1.汇旺物资\合同扫描件\01安徽\1 临泉县2020年高标农田建设项目五标段\1-5 汇旺-隆茂 临泉项目-钢材采购合同 676500元.pdf,2023-12-08 10:24:16.564902,文件有材料数据，已写入数据库！
\\192.168.180.180\13.平台-财务\平台公司共享\1.汇旺物资\合同扫描件\01安徽\10 2021年中央财政湿地保护资金项目-栖息地改造工程\信合源\15 汇旺-信合源 栖息地项目-钢材采购合同 110962.77元.pdf,2023-12-08 10:24:17.845064,文件有材料数据，已写入数据库！
\\192.168.180.180\13.平台-财务\平台公司共享\1.汇旺物资\合同扫描件\01安徽\10 2021年中央财政湿地保护资金项目-栖息地改造工程\混凝土-宏大\21 汇旺-宏大 栖息地项目-混凝土采购补充协议三审批表 574138.5元.pdf,2023-12-08 10:24:45.438575,文件有材料数据，已写入数据库！
\\192.168.180.180\13.平台-财务\平台公司共享\1.汇旺物资\合同扫描件\01安徽\3 濉溪康复病房综合楼工程\3-1 汇旺-信合源 濉溪项目-材料采购 4000000元.pdf,2023-12-08 10:25:23.112296,文件无材料数据！
\\192.168.180.180\13.平台-财务\平台公司共享\1.汇旺物资\合同扫描件\01安徽\1 临泉县2020年高标农田建设项目五标段\1-1 汇旺-瑞丰 临泉项目-碎石采购合同 376050元.pdf,2023-12-08 10:25:47.872427,文件有材料数据，已写入数据库！
\\192.168.180.180\13.平台-财务\平台公司共享\1.汇旺物资\合同扫描件\01安徽\2 金安区淠东乡淠东初中教师周转宿舍项目\2-1 汇旺-普凡 金安区项目-开关插座采购合同164737.8元.pdf,2023-12-08 10:25:55.700498,文件有材料数据，已写入数据库！
\\192.168.180.180\13.平台-财务\平台公司共享\1.汇旺物资\合同扫描件\01安徽\10 2021年中央财政湿地保护资金项目-栖息地改造工程\混凝土-宏大\21 汇旺-宏大 栖息地项目-混凝土采购补充协议四审批表 346062.5元.pdf,2023-12-08 10:26:06.469798,文件有材料数据，已写入数据库！
\\192.168.180.180\13.平台-财务\平台公司共享\1.汇旺物资\合同扫描件\01安徽\10 2021年中央财政湿地保护资金项目-栖息地改造工程\信合源\15 汇旺-信合源 栖息地项目-钢材采购补充协议 45922.6元.pdf,2023-12-08 10:26:32.319878,文件有材料数据，已写入数据库！
\\192.168.180.180\13.平台-财务\平台公司共享\1.汇旺物资\合同扫描件\01安徽\1 临泉县2020年高标农田建设项目五标段\1-5 汇旺-隆茂 临泉项目-钢材采购合同审批表+企业资质 676500元.pdf,2023-12-08 10:26:59.147235,文件无材料数据！
\\192.168.180.180\13.平台-财务\平台公司共享\1.汇旺物资\合同扫描件\01安徽\10 2021年中央财政湿地保护资金项目-栖息地改造工程\信合源\19 汇旺-信合源 栖息地项目-商品混凝土购销合同 1461000元.pdf,2023-12-08 10:27:37.224852,文件无材料数据！
\\192.168.180.180\13.平台-财务\平台公司共享\1.汇旺物资\合同扫描件\01安徽\1 临泉县2020年高标农田建设项目五标段\1-2 汇旺-信合源 临泉项目-材料采购合同 2700000元.pdf,2023-12-08 10:28:44.279458,文件无材料数据！
\\192.168.180.180\13.平台-财务\平台公司共享\1.汇旺物资\合同扫描件\01安徽\10 2021年中央财政湿地保护资金项目-栖息地改造工程\信合源\15 汇旺-信合源 栖息地项目-钢材采购补充协议 733799.2元（2022.08.10）.pdf,2023-12-08 10:28:45.156554,文件有材料数据，已写入数据库！
\\192.168.180.180\13.平台-财务\平台公司共享\1.汇旺物资\合同扫描件\01安徽\10 2021年中央财政湿地保护资金项目-栖息地改造工程\中骄\29 汇旺-中骄 栖息地-商品混凝土采购合同 467309.85元.pdf,2023-12-08 10:30:11.696733,文件有材料数据，已写入数据库！
\\192.168.180.180\13.平台-财务\平台公司共享\1.汇旺物资\合同扫描件\01安徽\10 2021年中央财政湿地保护资金项目-栖息地改造工程\钢材-东胜万嘉\10-2-2 汇旺-东胜万嘉 栖息地项目-钢材采购合同 110962.77元.pdf,2023-12-08 10:30:14.788776,文件有材料数据，已写入数据库！
\\192.168.180.180\13.平台-财务\平台公司共享\1.汇旺物资\合同扫描件\01安徽\10 2021年中央财政湿地保护资金项目-栖息地改造工程\信合源\17 汇旺-信合源 栖息地项目-保温材料采购合同 18700.55元.pdf,2023-12-08 10:30:25.196083,文件有材料数据，已写入数据库！
\\192.168.180.180\13.平台-财务\平台公司共享\1.汇旺物资\合同扫描件\01安徽\11 池州市2022年普通国省干线公路S234板桥危桥改造项目\信合源\1 汇旺-信合源 池州-预制梁板采购合同 2297100元.pdf,2023-12-08 10:30:46.798557,文件有材料数据，已写入数据库！
\\192.168.180.180\13.平台-财务\平台公司共享\1.汇旺物资\合同扫描件\01安徽\10 2021年中央财政湿地保护资金项目-栖息地改造工程\信合源\10-4-1 汇旺-信合源 栖息地项目-木方材料采购合同 65034元.pdf,2023-12-08 10:30:51.385503,文件有材料数据，已写入数据库！
\\192.168.180.180\13.平台-财务\平台公司共享\1.汇旺物资\合同扫描件\01安徽\10 2021年中央财政湿地保护资金项目-栖息地改造工程\信合源\26 汇旺-信合源 栖息地-路灯采购合同 14245元.pdf,2023-12-08 10:31:24.374100,文件有材料数据，已写入数据库！
\\192.168.180.180\13.平台-财务\平台公司共享\1.汇旺物资\合同扫描件\01安徽\10 2021年中央财政湿地保护资金项目-栖息地改造工程\电缆-天辰\25 汇旺-天辰 栖息地-电缆采购合同 88199.33元.pdf,2023-12-08 10:31:30.545234,文件无材料数据！
\\192.168.180.180\13.平台-财务\平台公司共享\1.汇旺物资\合同扫描件\01安徽\10 2021年中央财政湿地保护资金项目-栖息地改造工程\宣城先达建设工程有限公司\33 汇旺-先达 栖息地-沥青、水稳采购合同 388750元.pdf,2023-12-08 10:31:52.192403,文件有材料数据，已写入数据库！
\\192.168.180.180\13.平台-财务\平台公司共享\1.汇旺物资\合同扫描件\01安徽\10 2021年中央财政湿地保护资金项目-栖息地改造工程\保温材料-兴盛锅炉\22 汇旺-兴盛锅炉 栖息地-保温材料采购合同 18700.55元.pdf,2023-12-08 10:32:09.556795,文件有材料数据，已写入数据库！
\\192.168.180.180\13.平台-财务\平台公司共享\1.汇旺物资\合同扫描件\01安徽\2 金安区淠东乡淠东初中教师周转宿舍项目\2-6 汇旺-焕天 金安区项目-砂石、电缆、波纹管采购合同 642908元.pdf,2023-12-08 10:32:38.457390,文件有材料数据，已写入数据库！
\\192.168.180.180\13.平台-财务\平台公司共享\1.汇旺物资\合同扫描件\01安徽\3 濉溪康复病房综合楼工程\3-12 汇旺-硕辰 濉溪项目-新风机组采购合同 189536元.pdf,2023-12-08 10:34:35.250826,文件有材料数据，已写入数据库！
\\192.168.180.180\13.平台-财务\平台公司共享\1.汇旺物资\合同扫描件\01安徽\10 2021年中央财政湿地保护资金项目-栖息地改造工程\钢材-东胜万嘉\10-6 汇旺-东胜万嘉 栖息地项目-钢材采购补充审批表+补充协议 45922.6元.pdf,2023-12-08 10:35:35.587962,文件有材料数据，已写入数据库！
\\192.168.180.180\13.平台-财务\平台公司共享\1.汇旺物资\合同扫描件\01安徽\1 临泉县2020年高标农田建设项目五标段\1-6 汇旺-大全 临泉项目-碎石采购合同 308244元.pdf,2023-12-08 10:35:36.041367,文件有材料数据，已写入数据库！
\\192.168.180.180\13.平台-财务\平台公司共享\1.汇旺物资\合同扫描件\01安徽\3 濉溪康复病房综合楼工程\3-10 汇旺-九歌 濉溪项目-瓷砖（内墙砖）采购 200400元.pdf,2023-12-08 10:35:43.858676,文件有材料数据，已写入数据库！
\\192.168.180.180\13.平台-财务\平台公司共享\1.汇旺物资\合同扫描件\01安徽\10 2021年中央财政湿地保护资金项目-栖息地改造工程\信合源\20 汇旺-信合源 栖息地项目-砂石采购合同 229720元.pdf,2023-12-08 10:35:46.807136,文件有材料数据，已写入数据库！
\\192.168.180.180\13.平台-财务\平台公司共享\1.汇旺物资\合同扫描件\01安徽\10 2021年中央财政湿地保护资金项目-栖息地改造工程\聚乙烯薄膜-恒阳\24 汇旺-恒阳 栖息地-聚乙烯薄膜采购合同 19950元.pdf,2023-12-08 10:35:50.589918,文件有材料数据，已写入数据库！
\\192.168.180.180\13.平台-财务\平台公司共享\1.汇旺物资\合同扫描件\01安徽\3 濉溪康复病房综合楼工程\3-16 汇旺-爱娜 濉溪项目-卫浴材料采购合同 112760元.pdf,2023-12-08 10:36:30.239629,文件有材料数据，已写入数据库！
\\192.168.180.180\13.平台-财务\平台公司共享\1.汇旺物资\合同扫描件\01安徽\4 太和县2021年自然村通硬化路和联网路工程13标段施工\4-10 汇旺-泰赛 太和县项目-护栏采购合同审批表+企业资质 266844.3元.pdf,2023-12-08 10:37:13.679897,文件无材料数据！
\\192.168.180.180\13.平台-财务\平台公司共享\1.汇旺物资\合同扫描件\01安徽\1 临泉县2020年高标农田建设项目五标段\1-3 汇旺-瑞丰 临泉项目-碎石采购合同 759000元.pdf,2023-12-08 10:37:47.799064,文件有材料数据，已写入数据库！
\\192.168.180.180\13.平台-财务\平台公司共享\1.汇旺物资\合同扫描件\01安徽\4 太和县2021年自然村通硬化路和联网路工程13标段施工\4-2 汇旺-双畅 太和县项目-细粒式混凝土采购补充协议 217700元.pdf,2023-12-08 10:37:51.560154,文件有材料数据，已写入数据库！
\\192.168.180.180\13.平台-财务\平台公司共享\1.汇旺物资\合同扫描件\01安徽\2 金安区淠东乡淠东初中教师周转宿舍项目\2-2 汇旺-鑫瑞 金安区项目-门采购合同 84000元.pdf,2023-12-08 10:37:53.922361,文件有材料数据，已写入数据库！
\\192.168.180.180\13.平台-财务\平台公司共享\1.汇旺物资\合同扫描件\01安徽\10 2021年中央财政湿地保护资金项目-栖息地改造工程\中骄\30 汇旺-中骄 栖息地-钢材采购合同 93654元.pdf,2023-12-08 10:39:39.900713,文件有材料数据，已写入数据库！
\\192.168.180.180\13.平台-财务\平台公司共享\1.汇旺物资\合同扫描件\01安徽\10 2021年中央财政湿地保护资金项目-栖息地改造工程\信合源\10-5-1 汇旺-信合源 栖息地项目-配电柜采购 6615元.pdf,2023-12-08 10:40:42.913312,文件有材料数据，已写入数据库！
\\192.168.180.180\13.平台-财务\平台公司共享\1.汇旺物资\合同扫描件\01安徽\10 2021年中央财政湿地保护资金项目-栖息地改造工程\信合源\28 汇旺-信合源 栖息地-电缆采购合同 88199.33元.pdf,2023-12-08 10:44:07.196279,文件有材料数据，已写入数据库！
\\192.168.180.180\13.平台-财务\平台公司共享\1.汇旺物资\合同扫描件\01安徽\10 2021年中央财政湿地保护资金项目-栖息地改造工程\信合源\1 汇旺-信合源 栖息地项目-钢材采购合同 117350.66元.pdf,2023-12-08 10:44:07.710152,文件有材料数据，已写入数据库！
\\192.168.180.180\13.平台-财务\平台公司共享\1.汇旺物资\合同扫描件\01安徽\10 2021年中央财政湿地保护资金项目-栖息地改造工程\钢材-东胜万嘉\10-6 汇旺-东胜万嘉 栖息地项目-钢材采购补充审批表+补充协议 733799.2元（2022.07.26）.pdf,2023-12-08 10:44:39.871456,文件有材料数据，已写入数据库！
\\192.168.180.180\13.平台-财务\平台公司共享\1.汇旺物资\合同扫描件\01安徽\4 太和县2021年自然村通硬化路和联网路工程13标段施工\4-10 汇旺-泰赛 太和县项目-护栏采购补充协议 191575元.pdf,2023-12-08 10:44:49.284786,文件有材料数据，已写入数据库！
\\192.168.180.180\13.平台-财务\平台公司共享\1.汇旺物资\合同扫描件\01安徽\10 2021年中央财政湿地保护资金项目-栖息地改造工程\信合源\14 汇旺-信合源 栖息地项目-板材补充协议 180340元（2022.07.19）.pdf,2023-12-08 10:45:21.234951,文件有材料数据，已写入数据库！
\\192.168.180.180\13.平台-财务\平台公司共享\1.汇旺物资\合同扫描件\01安徽\3 濉溪康复病房综合楼工程\3-5 汇旺-科创 濉溪项目-真空保温板采购 144900元.pdf,2023-12-08 10:45:21.430331,文件有材料数据，已写入数据库！
\\192.168.180.180\13.平台-财务\平台公司共享\1.汇旺物资\合同扫描件\01安徽\10 2021年中央财政湿地保护资金项目-栖息地改造工程\电缆-天辰\25 汇旺-天辰 栖息地-电缆采购审批合同 88199.33元.pdf,2023-12-08 10:45:38.675105,文件有材料数据，已写入数据库！
\\192.168.180.180\13.平台-财务\平台公司共享\1.汇旺物资\合同扫描件\01安徽\11 池州市2022年普通国省干线公路S234板桥危桥改造项目\黄山装配科技有限公司\2 汇旺-黄山 S234-预制梁板采购合同 2297100元.pdf,2023-12-08 10:46:22.581871,文件有材料数据，已写入数据库！
